Variable,Description,Type,Units
Patient.Id,Patient identifier,String,
Glaucoma,Whether the patient has glaucoma or not ,Factor,Factor(Y;N)
Gender,Gender,Factor,Factor (F;M)
Age,Age,Num,Real
Eye,Eye,Factor,Factor (L;M)
FoBMO.Angle,Angle from the center of the papilla to the macula,Num,Real (-30-+30)
Displacement,Distance from papilla center to macula,Num,Real (µm)
BMO.Area,BMO area,Num,Real (mm2)
BMO.G,Thickness of BMO global,Num,Integer (0-100)
BMO.NS,Thickness of BMO upper nasal,Num,Integer (0-100)
BMO.N,Thickness of BMO nasal,Num,Integer (0-100)
BMO.NI,Thickness of BMO lower nasal,Num,Integer (0-100)
BMO.TI,Thickness of BMO lower temporal,Num,Integer (0-100)
BMO.T,Thickness of BMO temporal,Num,Integer (0-100)
BMO.TS,Thickness of BMO upper temporal,Num,Integer (0-100)
Rim3.5.G,Thickness of rim 3.5 global,Num,Integer (0-100)
Rim3.5.NS,Thickness of rim 3.5 upper nasal,Num,Integer (0-100)
Rim3.5.N,Thickness of rim 3.5 nasal,Num,Integer (0-100)
Rim3.5.NI,Thickness of rim 3.5 lower nasal,Num,Integer (0-100)
Rim3.5.TI,Thickness of rim 3.5 lower temporal,Num,Integer (0-100)
Rim3.5.T,Thickness of rim 3.5 temporal,Num,Integer (0-100)
Rim3.5.TS,Thickness of rim 3.5 upper temporal,Num,Integer (0-100)
Rim4.1.G,Thickness of rim 4.1 global,Num,Integer (0-100)
Rim4.1.NS,Thickness of rim 4.1 upper nasal,Num,Integer (0-100)
Rim4.1.N,Thickness of rim 4.1 nasal,Num,Integer (0-100)
Rim4.1.NI,Thickness of rim 4.1 lower nasal,Num,Integer (0-100)
Rim4.1.TI,Thickness of rim 4.1 lower temporal,Num,Integer (0-100)
Rim4.1.T,Thickness of rim 4.1 temporal,Num,Integer (0-100)
Rim4.1.TS,Thickness of rim 4.1 upper temporal,Num,Integer (0-100)
Rim4.7.G,Thickness of rim 4.7 global,Num,Integer (0-100)
Rim4.7.NS,Thickness of rim 4.7 upper nasal,Num,Integer (0-100)
Rim4.7.N,Thickness of rim 4.7 nasal,Num,Integer (0-100)
Rim4.7.NI,Thickness of rim 4.7 lower nasal,Num,Integer (0-100)
Rim4.7.TI,Thickness of rim 4.7 lower temporal,Num,Integer (0-100)
Rim4.7.T,Thickness of rim 4.7 temporal,Num,Integer (0-100)
Rim4.7.TS,Thickness of rim 4.7 upper temporal,Num,Integer (0-100)
